eventId,decimalLatitude,decimalLongitude
5063423165,-27.610759,153.446563
5075164945,-16.7,145.9
5064012114,-27.168782,153.318661
4525162645,-27.136656,153.072901
4525212726,-27.156838,153.143673
4525247437,-27.025395,153.195783
4525179662,-27.115771,153.130708
4606621831,-27.914609,153.560496
4867625514,-16.60267,139.097481
4901442998,-25.846685,153.013955
4954663659,-25.993045,153.04174
4923786864,-25.548977,113.480526
4954727789,-21.981501,113.687843
4935635884,-27.478539,153.369452
4945933285,-25.354512,153.079221
4950250855,-13.964092,127.332498
4952168512,-12.657714,143.461153
4954747636,-20.483521,148.788986
4952865467,-14.04039,127.202758
4976218506,-25.753491,113.780015
4987554185,-10.58988,142.269816
4987725556,-27.346146,153.398217
5108330788,-27.183544,153.277981
4015070427,-27.257641,153.467271
4018147180,-27.982599,153.411506
4519168632,-12.567225,130.733347
4133921777,-27.06378,153.003097
4133670727,-27.085711,153.029757
4142110474,-28.185776,153.535545
4133632480,-27.041016,153.058993
4400162191,-27.069886,153.076078
4400021683,-27.07679,153.089403
4153802270,-27.004876,153.039259
4400256543,-27.140486,153.170655
4400424066,-27.024017,153.131668
4405391134,-20.411871,116.871959
4405405111,-20.567275,116.914491
4405287998,-27.080376,153.018976
4525225535,-27.123825,153.017344
4525166585,-27.002248,153.019629
4525152813,-27.115993,153.138234
4596888978,-25.364773,152.868309
4525169614,-27.151472,153.080907
4525151766,-27.168027,153.0994
4525200833,-27.199998,153.072684
5063095399,-25.779854,113.789579
4893244973,-27.465323,153.239582
4424531365,-20.595845,148.931708
4436138700,-14.796051,145.465087
4453922667,-24.943642,152.520576
4525154667,-27.143457,153.144237
4525169647,-27.053441,153.145949
4525255843,-27.193641,153.064551
4525169655,-27.14676,153.053189
4465748437,-22.015262,114.177157
4525153661,-27.184703,153.139304
4525194634,-27.058952,153.109777
4525256552,-27.126458,153.061692
3457111145,-23.864011,151.261529
4945738507,-17.943904,122.208578
4063034443,-17.806723,122.392393
4946103634,-17.931455,122.326807
4852652713,-17.895316,122.207222
4945697722,-17.915245,122.202639
4946029448,-17.891293,122.374454
3860075142,-25.372134,152.700922
4063111490,-17.957461,122.30347
4436061554,-17.993454,122.369389
3892889305,-14.16557,136.70777
3909524648,-27.4,153.5
4846738762,-25.829518,113.362127
3961363843,-27.54311,153.253204
3915660610,-26.073161,113.241467
3963666603,-17.831968,146.082414
4009727629,-17.855962,146.111669
4096456949,-25.602538,113.78899
4096836942,-25.67845,113.793307
4096461953,-25.69342,113.610473
4102699528,-25.671693,113.619393
4096465949,-25.699835,113.609636
4096473944,-25.70346,113.674663
4133781486,-25.726718,113.66713
4121220997,-25.542517,113.520327
4121261015,-25.540345,113.597097
4017956427,-34.006448,151.192165
4133663749,-27.043008,153.09778
4130082436,-27.177189,153.123213
3052216415,-27.513307,153.260814
4155483782,-15.57133,136.30997
4155496670,-15.57889,136.32838
4155567818,-15.52205,136.2823
4155532005,-15.5715,136.32057
4155412660,-15.52254,136.28
4155416419,-15.8477,136.719
4155417147,-15.5653,136.3074
4155442315,-15.78742,136.65575
4155428142,-15.56486,136.30988
4155510560,-15.61495,136.41771
4138745637,-22.634767,113.773855
3118498661,-25.257734,153.135982
3779599891,-14.417083,144.977267
4017977490,-28.25775,153.58233
3780267934,-14.40327,144.903626
4894854312,-28.262642,153.573488
3384978696,-25.977023,153.167871
3391347177,-23.15248,113.750868
2563052751,-25.7,113.8
2575931103,-25.7,113.7
4133685764,-27.106987,153.106388
2802852624,-16.9047,145.808879
2802646773,-20.385435,148.646116
3381471805,-13.50044,129.84262
4133855667,-27.009278,153.070794
3779855671,-14.402629,144.904527
3780102638,-14.423913,144.944643
3779278700,-14.423913,144.944643
3381472433,-12.431474,130.834047
3778770841,-18.20081,146.11903
3780066873,-18.20925,146.10533
4133679738,-27.044316,153.028963
4133680648,-26.815269,153.185382
3013319366,-25.8,153
4155387372,-15.52786,136.28755
4155387451,-15.57318,136.3242
4155483482,-15.74494,136.81948
4155387533,-15.61448,136.3015
4155483644,-15.58121,136.31505
4155387715,-15.5607,136.30845
4155480762,-15.52996,136.31241
4155434850,-15.58124,136.30937
4155480848,-15.8249,136.6408
4155393921,-15.62019,136.34437
4155386999,-15.85372,136.67074
4155394161,-15.75345,136.64237
4155393179,-15.58426,136.31133
4155518201,-15.55522,136.29495
4155387210,-15.61719,136.34433
